"","Date","Station","Turbidity","Imputed"
"1",2022-08-17,"CM51",4.24583333333333,"Yes"
"2",2022-08-18,"CM51",4.24583333333333,"Yes"
"3",2022-08-19,"CM51",4.24583333333333,"No"
"4",2022-08-20,"CM51",3.328125,"No"
"5",2022-08-21,"CM51",3.32083333333333,"No"
"6",2022-08-22,"CM51",3.76875,"No"
"7",2022-08-23,"CM51",3.67708333333333,"No"
"8",2022-08-24,"CM51",3.34479166666667,"No"
"9",2022-08-25,"CM51",3.52526315789474,"No"
"10",2022-08-26,"CM51",3.728125,"No"
"11",2022-08-27,"CM51",3.82234042553191,"No"
"12",2022-08-28,"CM51",4.2,"No"
"13",2022-08-29,"CM51",3.79791666666667,"No"
"14",2022-08-30,"CM51",4.19027777777778,"Yes"
"15",2022-08-31,"CM51",4.58263888888889,"Yes"
"16",2022-09-01,"CM51",4.975,"No"
"17",2022-09-02,"CM51",3.68958333333333,"No"
"18",2022-09-03,"CM51",3.3625,"No"
"19",2022-09-04,"CM51",3.31666666666667,"No"
"20",2022-09-05,"CM51",4.23645833333333,"No"
"21",2022-09-06,"CM51",3.8875,"No"
"22",2022-09-07,"CM51",3.646875,"No"
"23",2022-09-08,"CM51",3.64895833333333,"No"
"24",2022-09-09,"CM51",4.5015625,"Yes"
"25",2022-09-10,"CM51",5.35416666666667,"No"
"26",2022-09-11,"CM51",4.90677083333333,"Yes"
"27",2022-09-12,"CM51",4.459375,"No"
"28",2022-09-13,"CM51",4.48105263157895,"No"
"29",2022-09-14,"CM51",4.73229166666667,"No"
"30",2022-09-15,"CM51",4.109375,"No"
"31",2022-09-16,"CM51",4.18229166666667,"No"
"32",2022-09-17,"CM51",4.178125,"No"
"33",2022-09-18,"CM51",3.99479166666667,"No"
"34",2022-09-19,"CM51",3.54105263157895,"No"
"35",2022-09-20,"CM51",3.60833333333333,"No"
"36",2022-09-21,"CM51",4.29574468085106,"No"
"37",2022-09-22,"CM51",5.21770833333333,"No"
"38",2022-09-23,"CM51",4.74166666666667,"Yes"
"39",2022-09-24,"CM51",4.265625,"No"
"40",2022-09-25,"CM51",4.54148936170213,"No"
"41",2022-09-26,"CM51",4.97916573348264,"Yes"
"42",2022-09-27,"CM51",5.41684210526316,"No"
"43",2022-09-28,"CM51",4.975,"No"
"44",2022-09-29,"CM51",4.75208333333333,"No"
"45",2022-09-30,"CM51",3.559375,"No"
"46",2022-10-01,"CM51",3.45520833333333,"No"
"47",2022-10-02,"CM51",4.19895833333333,"No"
"48",2022-10-03,"CM51",4.51145833333333,"No"
"49",2022-10-04,"CM51",5.84791666666667,"No"
"50",2022-10-05,"CM51",5.65208333333333,"Yes"
"51",2022-10-06,"CM51",5.45625,"Yes"
"52",2022-10-07,"CM51",5.26041666666667,"Yes"
"53",2022-10-08,"CM51",5.06458333333333,"Yes"
"54",2022-10-09,"CM51",4.86875,"Yes"
"55",2022-10-10,"CM51",4.67291666666667,"Yes"
"56",2022-10-11,"CM51",4.47708333333333,"Yes"
"57",2022-10-12,"CM51",4.28125,"Yes"
"58",2022-10-13,"CM51",4.08541666666667,"Yes"
"59",2022-10-14,"CM51",3.88958333333333,"Yes"
"60",2022-10-15,"CM51",3.69375,"Yes"
"61",2022-10-16,"CM51",3.49791666666667,"Yes"
"62",2022-10-17,"CM51",3.30208333333333,"Yes"
"63",2022-10-18,"CM51",3.10625,"Yes"
"64",2022-10-19,"CM51",2.91041666666667,"No"
"65",2022-10-20,"CM51",4.42916666666667,"No"
"66",2022-10-21,"CM51",3.10520833333333,"No"
"67",2022-10-22,"CM51",3.32916666666667,"No"
"68",2022-10-23,"CM51",5.08526315789474,"No"
"69",2022-10-24,"CM51",4.91354166666667,"No"
"70",2022-10-25,"CM51",3.88854166666667,"No"
"71",2022-10-26,"CM51",3.553125,"No"
"72",2022-10-27,"CM51",4.7125,"No"
"73",2022-10-28,"CM51",4.778125,"No"
"74",2022-10-29,"CM51",4.72916666666667,"No"
"75",2022-10-30,"CM51",4.86666666666667,"No"
"76",2022-10-31,"CM51",4.22604166666667,"No"
"77",2022-11-01,"CM51",3.73645833333333,"No"
"78",2022-11-02,"CM51",3.421875,"No"
"79",2022-11-03,"CM51",3.71458333333333,"No"
"80",2022-11-04,"CM51",3.43541666666667,"No"
"81",2022-11-05,"CM51",3.31458333333333,"Yes"
"82",2022-11-06,"CM51",3.19375,"No"
"83",2022-11-07,"CM51",4.365625,"No"
"84",2022-11-08,"CM51",3.303125,"No"
"85",2022-11-09,"CM51",2.87604166666667,"No"
"86",2022-11-10,"CM51",2.990625,"No"
"87",2022-11-11,"CM51",2.615625,"No"
"88",2022-11-12,"CM51",2.71770833333333,"No"
"89",2022-11-13,"CM51",4.51770833333333,"No"
"90",2022-11-14,"CM51",4.46666666666667,"No"
"91",2022-11-15,"CM51",3.74791666666667,"Yes"
"92",2022-11-16,"CM51",3.02916666666667,"No"
"93",2022-11-17,"CM51",2.62291666666667,"No"
"94",2022-11-18,"CM51",3.059375,"No"
"95",2022-11-19,"CM51",3.94791666666667,"No"
"96",2022-11-20,"CM51",3.98333333333333,"No"
"97",2022-11-21,"CM51",3.07083333333333,"No"
"98",2022-11-22,"CM51",3.01041666666667,"No"
"99",2022-11-23,"CM51",4.30208333333333,"No"
"100",2022-11-24,"CM51",3.47916666666667,"No"
"101",2022-11-25,"CM51",3.571875,"No"
"102",2022-11-26,"CM51",3.18125,"No"
"103",2022-11-27,"CM51",4.34791666666667,"No"
"104",2022-11-28,"CM51",3.79895833333333,"No"
"105",2022-11-29,"CM51",3.7578125,"Yes"
"106",2022-11-30,"CM51",3.71666666666667,"No"
"107",2022-12-01,"CM51",3.434375,"No"
"108",2022-12-02,"CM51",3.30729166666667,"No"
"109",2022-12-03,"CM51",3.22916666666667,"No"
"110",2022-12-04,"CM51",7.50520833333333,"No"
"111",2022-12-05,"CM51",3.553125,"No"
